date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
2012-11-01,15.13,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2012-12-01,15.07,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-01-01,14.93,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-02-01,15.14,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-03-01,15.05,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-04-01,15.12,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-05-01,15.31,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-06-01,15.05,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-07-01,15.31,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-08-01,15.45,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-09-01,15.71,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-10-01,15.73,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-11-01,16.02,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2013-12-01,16.0,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-01-01,16.21,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-02-01,16.96,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-03-01,16.33,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-04-01,16.64,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-05-01,16.52,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-06-01,16.03,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-07-01,16.42,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-08-01,16.48,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-09-01,16.95,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-10-01,16.94,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-11-01,16.98,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2014-12-01,17.48,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-01-01,16.96,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-02-01,17.15,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-03-01,17.13,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-04-01,17.19,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-05-01,17.01,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-06-01,16.81,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-07-01,16.79,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-08-01,16.8,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-09-01,16.87,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-10-01,17.58,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-11-01,17.6,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2015-12-01,18.04,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-01-01,17.94,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-02-01,17.8,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-03-01,17.56,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-04-01,17.45,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-05-01,17.46,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-06-01,17.29,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-07-01,17.45,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-08-01,17.36,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-09-01,17.31,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-10-01,17.52,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-11-01,17.67,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2016-12-01,17.79,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-01-01,17.93,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-02-01,17.61,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-03-01,17.62,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-04-01,17.61,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-05-01,16.77,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-06-01,16.65,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-07-01,16.67,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-08-01,16.76,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-09-01,16.88,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-10-01,17.84,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-11-01,17.65,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2017-12-01,18.31,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-01-01,18.25,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-02-01,17.92,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-03-01,18.01,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-04-01,17.96,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-05-01,16.95,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-06-01,16.69,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-07-01,16.65,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-08-01,16.53,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-09-01,16.96,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-10-01,17.33,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-11-01,17.42,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2018-12-01,17.53,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-01-01,17.29,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-02-01,17.76,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-03-01,17.51,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-04-01,17.49,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-05-01,17.27,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-06-01,16.84,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-07-01,17.0,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-08-01,17.17,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-09-01,17.41,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-10-01,17.64,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-11-01,17.6,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2019-12-01,17.9,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2020-01-01,17.42,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2020-02-01,17.46,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2020-03-01,17.25,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2020-04-01,18.85,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2020-05-01,17.74,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2020-06-01,17.52,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
