realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,2001-01-01,51143.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2002-01-01,48911.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2003-01-01,47257.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2004-01-01,50301.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2005-01-01,50981.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2006-01-01,49918.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2007-01-01,53438.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2008-01-01,49936.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2009-01-01,46252.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2010-01-01,48053.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2011-01-01,49862.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
