realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,1985-02-01,11.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1985-03-01,11.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1985-04-01,10.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1985-05-01,9.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1985-06-01,10.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1985-07-01,9.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1985-08-01,8.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1985-09-01,8.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1985-10-01,9.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1985-11-01,9.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1985-12-01,10.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-01-01,11.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-02-01,12.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-03-01,12.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-04-01,12.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-05-01,11.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-06-01,11.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-07-01,10.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-08-01,9.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-09-01,10.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-10-01,10.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-11-01,11.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1986-12-01,10.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1987-01-01,12.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1987-02-01,12.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1987-03-01,12.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1987-04-01,11.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
